Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Guests Included;Extra People;Minimum Nights;Number of Reviews;Review Scores Rating;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;City
Apartment;Shared room;10;1.0;1.0;10.0;Real Bed;11.0;1;15;1;0;;;;;;;strict;Madrid
Apartment;Private room;2;1.0;1.0;2.0;Real Bed;27.0;1;19;1;15;84.0;9.0;10.0;10.0;9.0;8.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;160.0;1;0;2;0;;;;;;;flexible;Barcelona
Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;40.0;1;5;5;9;73.0;8.0;8.0;9.0;10.0;7.0;strict;Madrid
Condominium;Private room;1;1.0;1.0;1.0;Real Bed;30.0;1;0;2;18;99.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;80.0;1;0;1;2;100.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;110.0;1;0;5;0;;;;;;;flexible;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;20.0;1;0;1;10;90.0;10.0;10.0;9.0;9.0;9.0;strict;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;30.0;1;25;4;8;100.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;60.0;2;10;1;58;88.0;9.0;9.0;9.0;10.0;9.0;moderate;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;59.0;1;0;2;11;98.0;10.0;9.0;10.0;9.0;9.0;moderate;Madrid
House;Private room;2;1.0;1.0;1.0;Real Bed;20.0;1;12;1;24;94.0;9.0;10.0;10.0;10.0;9.0;flexible;Madrid
Apartment;Entire home/apt;2;2.0;1.0;1.0;Real Bed;100.0;1;0;3;87;97.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
Apartment;Entire home/apt;5;1.0;2.0;4.0;Real Bed;45.0;4;15;3;1;;;;;;;flexible;Madrid
Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;80.0;1;0;6;5;92.0;10.0;10.0;10.0;10.0;9.0;moderate;Madrid
Bed & Breakfast;Private room;2;2.0;1.0;2.0;Real Bed;32.0;1;20;1;298;96.0;10.0;10.0;10.0;9.0;10.0;flexible;Madrid
Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;99.0;4;50;4;51;82.0;9.0;9.0;9.0;10.0;9.0;strict;Barcelona
Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;120.0;2;20;2;9;98.0;10.0;10.0;10.0;10.0;10.0;strict;Madrid
Apartment;Private room;2;1.0;1.0;2.0;Real Bed;75.0;1;28;2;0;;;;;;;moderate;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;80.0;2;20;2;10;94.0;9.0;10.0;10.0;10.0;9.0;moderate;Barcelona
Apartment;Private room;1;1.5;1.0;1.0;Real Bed;16.0;1;0;7;11;96.0;9.0;10.0;10.0;10.0;9.0;strict;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;35.0;1;0;1;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;4;2.0;2.0;4.0;Real Bed;50.0;2;0;2;9;93.0;9.0;9.0;10.0;10.0;8.0;strict;Barcelona
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;48.0;1;25;1;0;;;;;;;moderate;Paris
House;Private room;1;1.0;1.0;1.0;Real Bed;21.0;1;0;2;3;80.0;9.0;10.0;9.0;7.0;9.0;strict;Madrid
Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;105.0;4;15;1;71;98.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Private room;2;1.0;1.0;1.0;Real Bed;25.0;1;10;2;9;98.0;10.0;10.0;10.0;10.0;9.0;moderate;Madrid
Condominium;Private room;2;1.0;1.0;1.0;Real Bed;33.0;1;0;1;36;96.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Apartment;Private room;1;2.0;0.0;1.0;Real Bed;18.0;1;0;6;0;;;;;;;flexible;Madrid
Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;56.0;2;0;2;8;80.0;7.0;9.0;10.0;10.0;8.0;strict;Barcelona
Apartment;Entire home/apt;5;1.0;1.0;5.0;Real Bed;70.0;2;15;2;1;100.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;70.0;4;0;2;4;95.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;29.0;1;5;1;4;75.0;7.0;9.0;9.0;9.0;8.0;moderate;Madrid
Apartment;Private room;1;0.5;1.0;1.0;Real Bed;23.0;1;12;2;4;100.0;10.0;10.0;10.0;9.0;10.0;strict;Madrid
Apartment;Private room;1;1.0;1.0;1.0;Real Bed;30.0;1;0;1;5;90.0;10.0;10.0;10.0;10.0;10.0;flexible;Madrid
Loft;Entire home/apt;4;1.0;1.0;3.0;Real Bed;60.0;2;15;2;20;98.0;10.0;10.0;10.0;10.0;10.0;moderate;Madrid
Apartment;Entire home/apt;3;2.0;2.0;2.0;Real Bed;45.0;1;10;4;147;95.0;9.0;9.0;9.0;9.0;10.0;moderate;Madrid
House;Entire home/apt;4;2.0;2.0;4.0;Real Bed;195.0;1;0;2;2;100.0;10.0;10.0;10.0;10.0;8.0;flexible;Madrid
Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;59.0;2;15;2;14;77.0;8.0;9.0;9.0;10.0;8.0;strict;Madrid
Apartment;Entire home/apt;5;1.0;2.0;5.0;Real Bed;90.0;4;10;3;8;97.0;10.0;10.0;10.0;9.0;9.0;strict;Madrid
